_id,id_local,desc_distrito_local,desc_barrio_local,clase_vial_edificio,desc_situacion_local,Nombre,desc_periodo_terraza,desc_situacion_terraza,DESC_CLASE,DESC_NOMBRE,desc_ubicacion_terraza
1392,280012054,CENTRO              ,SOL                 ,CALLE                   ,Abierto,RESTAURANTE EL POZO REAL,Anual,Abierta,CALLE                   ,POZO                                              ,Calle peatonal
1393,280010847,CENTRO              ,UNIVERSIDAD         ,CALLE                   ,Abierto,TIRADITO,Anual,Abierta,CALLE                   ,SANTA CRUZ DE MARCENADO                           ,Acera
1395,270356119,CENTRO              ,CORTES              ,PLAZA                   ,Abierto,HOTEL VILLAREAL,Anual,Abierta,PLAZA                   ,CORTES                                            ,Plaza peatonal
1396,270050000,CENTRO              ,UNIVERSIDAD         ,CALLE                   ,Abierto,DON JAMON,Anual,Abierta,CALLE                   ,GRAN VIA                                          ,Acera
1398,270038431,CENTRO              ,PALACIO             ,CALLE                   ,Abierto,LA ESQUINITA,Anual,Abierta,COSTANILLA              ,SANTIAGO                                          ,Acera
1399,280011373,CENTRO              ,SOL                 ,CALLE                   ,Abierto,PIZZERIA TRATTORIA SCIANTUSI,Anual,Abierta,CALLE                   ,NAVAS DE TOLOSA                                   ,Calle peatonal
1401,10001936,CENTRO              ,SOL                 ,CALLE                   ,Abierto,CORRIENTES 348,Anual,Abierta,CALLE                   ,TOLEDO                                            ,Calle peatonal
1403,270479309,CENTRO              ,EMBAJADORES         ,CALLE                   ,Abierto,LA CASA DE ASTURIAS,Anual,Abierta,CALLE                   ,ARGUMOSA                                          ,Acera
1404,10002538,CENTRO              ,EMBAJADORES         ,CALLE                   ,Abierto,SOIDEMERSOL,Anual,Abierta,CALLE                   ,ARGUMOSA                                          ,Acera
1406,270545475,PUENTE DE VALLECAS  ,NUMANCIA            ,AVENIDA                 ,Abierto,MESON MORENO,Anual,Abierta,AVENIDA                 ,ALBUFERA                                          ,Acera
1408,270162238,PUENTE DE VALLECAS  ,PORTAZGO            ,CALLE                   ,Abierto,MESON CASA SERGIO,Anual,Abierta,CALLE                   ,ARROYO DEL OLIVAR                                 ,Acera
1409,130001790,PUENTE DE VALLECAS  ,PALOMERAS BAJAS     ,AVENIDA                 ,Abierto,SIDRERIA ASGAYA,Anual,Abierta,AVENIDA                 ,BUENOS AIRES                                      ,Acera
1410,130001211,PUENTE DE VALLECAS  ,PORTAZGO            ,AVENIDA                 ,Abierto,CASA NOVILLO,Anual,Abierta,AVENIDA                 ,BUENOS AIRES                                      ,Acera
1411,130001362,PUENTE DE VALLECAS  ,ENTREVIAS           ,CALLE                   ,Abierto,BAR LOS CANALES,Anual,Abierta,CALLE                   ,CAMPI?A                                           ,Acera
1412,270411996,PUENTE DE VALLECAS  ,PALOMERAS BAJAS     ,CALLE                   ,Abierto,TABERNA PINCHO Y COMA,Anual,Abierta,CALLE                   ,CANDILEJAS                                        ,Acera
1413,130002117,PUENTE DE VALLECAS  ,NUMANCIA            ,AVENIDA                 ,Abierto,KEBAP KURDISTAN,Anual,Abierta,AVENIDA                 ,ALBUFERA                                          ,Acera
