Pais;Mes;Casos;Muertes;PIB;GastoSaludEstado;Poblacion;PorcentajeCasos;PorcentajeMuertes;PorcentajeGastoSalud
Belgium;6;2972;278;525211.8107;48581.06955;11455519;0.000259438;2.42678E-05;0.092498052
Belgium;7;7706;79;525211.8107;48581.06955;11455519;0.000672689;6.89624E-06;0.092498052
Belgium;8;15816;185;525211.8107;48581.06955;11455519;0.001380645;1.61494E-05;0.092498052
Belgium;9;36970;125;525211.8107;48581.06955;11455519;0.003227265;1.09118E-05;0.092498052
Belgium;10;320023;1657;525211.8107;48581.06955;11455519;0.027936142;0.000144646;0.092498052
Belgium;11;135396;5076;525211.8107;48581.06955;11455519;0.011819281;0.000443105;0.092498052
Belgium;12;30170;1196;525211.8107;48581.06955;11455519;0.002633665;0.000104404;0.092498052
Belize;3;3;0;2080;78.88671492;390351;7.68539E-06;0;0.037926305
Belize;4;15;2;2080;78.88671492;390351;3.8427E-05;5.12359E-06;0.037926305
Belize;5;0;0;2080;78.88671492;390351;0;0;0.037926305
Belize;6;6;0;2080;78.88671492;390351;1.53708E-05;0;0.037926305
Belize;7;24;0;2080;78.88671492;390351;6.14831E-05;0;0.037926305
Belize;8;946;11;2080;78.88671492;390351;0.00242346;2.81798E-05;0.037926305
Belize;9;949;13;2080;78.88671492;390351;0.002431145;3.33034E-05;0.037926305
Belize;10;1519;32;2080;78.88671492;390351;0.00389137;8.19775E-05;0.037926305
Belize;11;2281;89;2080;78.88671492;390351;0.005843459;0.000228;0.037926305
Belize;12;3552;48;2080;78.88671492;390351;0.009099503;0.000122966;0.037926305
Benin;3;6;0;15651.54521;110.7398549;11801151;5.08425E-07;0;0.00707533
Benin;4;63;2;15651.54521;110.7398549;11801151;5.33846E-06;1.69475E-07;0.00707533
Benin;5;163;1;15651.54521;110.7398549;11801151;1.38122E-05;8.47375E-08;0.00707533
Benin;6;955;16;15651.54521;110.7398549;11801151;8.09243E-05;1.3558E-06;0.00707533
Benin;7;583;16;15651.54521;110.7398549;11801151;4.9402E-05;1.3558E-06;0.00707533
Benin;8;375;5;15651.54521;110.7398549;11801151;3.17766E-05;4.23687E-07;0.00707533
Benin;9;195;0;15651.54521;110.7398549;11801151;1.65238E-05;0;0.00707533
Benin;10;303;1;15651.54521;110.7398549;11801151;2.56755E-05;8.47375E-08;0.00707533
Benin;11;331;2;15651.54521;110.7398549;11801151;2.80481E-05;1.69475E-07;0.00707533
Benin;12;116;1;15651.54521;110.7398549;11801151;9.82955E-06;8.47375E-08;0.00707533
Bermuda;3;27;0;6887.147;7.98909052;62508;0.000431945;0;0.00116
Bermuda;4;84;6;6887.147;7.98909052;62508;0.001343828;9.59877E-05;0.00116
Bermuda;5;29;3;6887.147;7.98909052;62508;0.000463941;4.79939E-05;0.00116
Bermuda;6;6;0;6887.147;7.98909052;62508;9.59877E-05;0;0.00116
Bermuda;7;10;0;6887.147;7.98909052;62508;0.00015998;0;0.00116
Bermuda;8;13;0;6887.147;7.98909052;62508;0.000207973;0;0.00116
Bermuda;9;12;0;6887.147;7.98909052;62508;0.000191975;0;0.00116
Bermuda;10;18;0;6887.147;7.98909052;62508;0.000287963;0;0.00116
Bermuda;11;52;0;6887.147;7.98909052;62508;0.000831894;0;0.00116
Bermuda;12;180;0;6887.147;7.98909052;62508;0.002879631;0;0.00116
Bhutan;3;4;0;2325.184481;78.13951371;763094;5.24182E-06;0;0.033605726
Bhutan;4;3;0;2325.184481;78.13951371;763094;3.93136E-06;0;0.033605726
Bhutan;5;36;0;2325.184481;78.13951371;763094;4.71764E-05;0;0.033605726
Bhutan;6;34;0;2325.184481;78.13951371;763094;4.45555E-05;0;0.033605726
Bhutan;7;24;0;2325.184481;78.13951371;763094;3.14509E-05;0;0.033605726
Bhutan;8;123;0;2325.184481;78.13951371;763094;0.000161186;0;0.033605726
Bhutan;9;57;0;2325.184481;78.13951371;763094;7.46959E-05;0;0.033605726
Bhutan;10;67;0;2325.184481;78.13951371;763094;8.78005E-05;0;0.033605726
Bhutan;11;48;0;2325.184481;78.13951371;763094;6.29018E-05;0;0.033605726
Bhutan;12;42;0;2325.184481;78.13951371;763094;5.50391E-05;0;0.033605726
Bolivia;3;107;6;36629.84381;1889.059882;11513102;9.29376E-06;5.21145E-07;0.051571606
Bolivia;4;1003;53;36629.84381;1889.059882;11513102;8.71181E-05;4.60345E-06;0.051571606
Bolivia;5;8482;251;36629.84381;1889.059882;11513102;0.000736726;2.18012E-05;0.051571606
Bolivia;6;22533;761;36629.84381;1889.059882;11513102;0.001957162;6.60986E-05;0.051571606
Bolivia;7;43109;1823;36629.84381;1889.059882;11513102;0.003744343;0.000158341;0.051571606
Bolivia;8;40734;2072;36629.84381;1889.059882;11513102;0.003538056;0.000179969;0.051571606
Bolivia;9;18673;2965;36629.84381;1889.059882;11513102;0.001621891;0.000257533;0.051571606
Bolivia;10;6990;784;36629.84381;1889.059882;11513102;0.000607134;6.80963E-05;0.051571606
Bolivia;11;2991;237;36629.84381;1889.059882;11513102;0.000259791;2.05852E-05;0.051571606
Bolivia;12;2528;66;36629.84381;1889.059882;11513102;0.000219576;5.7326E-06;0.051571606
Bosnia and Herzegovina;3;353;8;19950.47117;1128.43057;3300998;0.000106937;2.42351E-06;0.0565616
Bosnia and Herzegovina;4;1336;56;19950.47117;1128.43057;3300998;0.000404726;1.69646E-05;0.0565616
Bosnia and Herzegovina;5;804;88;19950.47117;1128.43057;3300998;0.000243563;2.66586E-05;0.0565616
Bosnia and Herzegovina;6;1850;31;19950.47117;1128.43057;3300998;0.000560437;9.3911E-06;0.0565616
Bosnia and Herzegovina;7;7101;145;19950.47117;1128.43057;3300998;0.002151168;4.39261E-05;0.0565616
Bosnia and Herzegovina;8;8345;264;19950.47117;1128.43057;3300998;0.002528023;7.99758E-05;0.0565616
Bosnia and Herzegovina;9;7433;244;19950.47117;1128.43057;3300998;0.002251743;7.3917E-05;0.0565616
Bosnia and Herzegovina;10;20931;376;19950.47117;1128.43057;3300998;0.00634081;0.000113905;0.0565616
Bosnia and Herzegovina;11;39221;1408;19950.47117;1128.43057;3300998;0.011881558;0.000426538;0.0565616
Bosnia and Herzegovina;12;13743;716;19950.47117;1128.43057;3300998;0.004163286;0.000216904;0.0565616
Botswana;4;23;1;14930.07246;649.1028162;2303703;9.98393E-06;4.34084E-07;0.0434762
Botswana;5;12;0;14930.07246;649.1028162;2303703;5.209E-06;0;0.0434762
Botswana;6;140;0;14930.07246;649.1028162;2303703;6.07717E-05;0;0.0434762
